Memory_Usage_MB,RMSD(ArbAlign),nameA,nameB
0.05859375,0.32054196237103044,10-1,10-2
1.1953125,0.3785734400835834,50-1,50-2
1.84765625,0.2122750424691451,100-1,100-2
3.25,0.2983410363312042,150-1,150-2
3.453125,0.5356416145624101,200-1,200-2
7.3125,0.1217026131188734,300-1,300-2
28.7890625,0.5135742563836682,500-1,500-2
134.88671875,0.2214082418401077,1000-1,1000-2
