nameA,nameB,RMSD(GW),# atoms
10-1,10-2,0.5434938399100482,10
50-1,50-2,0.517406703744714,50
100-1,100-2,0.6538383536222812,100
150-1,150-2,0.21534509193002774,150
200-1,200-2,0.6785920739884149,200
300-1,300-2,0.5035958232281479,300
500-1,500-2,0.6053261878582932,500
1000-1,1000-2,0.0974537103445673,1000
