nameA,nameB,RMSD(GW+atom type),# atoms
s1maw1-1,s1maw1-2,1.3796801602183053,17
s1maw1-1,s1maw1-3,1.0331872638659148,17
s1maw1-1,s1maw1-4,0.11537133288107018,17
s1maw1-1,s1maw1-5,0.547122964709043,17
s1maw1-1,s1maw1-6,1.1569691680570142,17
s1maw1-1,s1maw1-7,1.3329397420723383,17
s1maw1-1,s1maw1-8,0.7214731522393577,17
s1maw1-1,s1maw1-9,1.1686550526924901,17
s1maw1-1,s1maw1-10,0.41836135700014,17
s1maw1-1,s1maw1-11,0.9924383778165979,17
s1maw1-1,s1maw1-12,0.9874711480339821,17
s1maw1-1,s1maw1-13,1.1347415524603934,17
s1maw1-1,s1maw1-14,0.9848263380094915,17
s1maw1-1,s1maw1-15,0.49027599293649965,17
s1maw1-1,s1maw1-16,0.41134263620024475,17
s1maw1-1,s1maw1-17,1.8033814818464038,17
s1maw1-1,s1maw1-18,1.4865832812451611,17
s1maw1-1,s1maw1-19,1.8166080926179715,17
s1maw1-1,s1maw1-20,1.1656848531843669,17
