RMSD(ArbAlign+atom connectivity),RMSD(ArbAlign+atom type),RMSD(ArbAlign+element name),nameA,nameB
2.064506058554422,1.9853665156219256,1.963652239776319,252_FGG55,253_FGG99
2.623059284352748,2.313871037442791,2.3673485429382555,252_FGG55,254_FGG300
2.6555551201497054,2.216514048051607,1.97791052681637,252_FGG55,255_FGG252
2.74413759142552,2.5833143021104727,2.450534414297161,252_FGG55,256_FGG366
2.0393826511206337,1.7757993201581932,1.7152006563682565,252_FGG55,257_FGG215
2.0955710458302197,1.8486946764182217,1.796735240798102,252_FGG55,258_FGG224
1.495348129275826,1.4350239674362568,1.373967911093683,252_FGG55,259_FGG380
2.058730079110882,1.8944253842857541,1.8887901218005554,252_FGG55,260_FGG412
2.0070483619719157,1.6732442522339197,1.7637055467297649,252_FGG55,261_FGG444
2.115669263963573,1.942798628250816,1.9020318766884086,252_FGG55,262_FGG470
1.8783181668379378,1.51960251519874,1.5016203673717672,252_FGG55,263_FGG80
1.8244693257509867,1.809609326613243,1.7605769174047972,252_FGG55,264_FGG114
1.8466817463272216,1.8169686504000393,1.7678233152562297,252_FGG55,265_FGG357
3.010142260069455,2.4447989826852408,2.157847873369137,252_FGG55,266_FGG691
