RMSD(ArbAlign+atom connectivity),RMSD(ArbAlign+atom type),RMSD(ArbAlign+element name),nameA,nameB
1.6207730932809403,1.2651237971468272,1.1774598265463059,s1maw1-1,s1maw1-2
0.5839615633828436,1.0896310140457433,1.1335942986632133,s1maw1-1,s1maw1-3
0.11538510897871554,0.11538510897871584,0.11538510897871611,s1maw1-1,s1maw1-4
0.5471165629245898,1.0531673877383485,1.0531673877383487,s1maw1-1,s1maw1-5
1.2909986638824547,0.7883345576732506,1.0669620961242732,s1maw1-1,s1maw1-6
1.6150426934043496,1.2462722380159676,1.1635254326996465,s1maw1-1,s1maw1-7
1.272900938787688,0.7214752136585882,0.7214752136585882,s1maw1-1,s1maw1-8
1.306215629727971,0.8038640211937707,0.8038640211937708,s1maw1-1,s1maw1-9
0.418359608663919,0.4183596086639189,0.4183596086639191,s1maw1-1,s1maw1-10
0.5628080351186673,1.2146347243103208,1.2146347243103208,s1maw1-1,s1maw1-11
0.553505228477418,1.0076158094286873,1.0076158094286873,s1maw1-1,s1maw1-12
0.9769546885186632,1.3297587238678419,1.3297587238678419,s1maw1-1,s1maw1-13
1.3617848662372072,0.8721301598276636,1.0147121684949043,s1maw1-1,s1maw1-14
0.4902559432093142,0.49025594320931426,0.49025594320931426,s1maw1-1,s1maw1-15
0.41134525039167796,1.1264700050284684,1.1264700050284684,s1maw1-1,s1maw1-16
1.6023527928476844,1.7027653789656967,1.5957515194239569,s1maw1-1,s1maw1-17
1.6265377460428327,1.5750494976762472,1.3306786022195893,s1maw1-1,s1maw1-18
1.253141293107449,1.400593981142166,1.1529874137563743,s1maw1-1,s1maw1-19
1.744812256797625,1.3595546512259276,1.2000207416080821,s1maw1-1,s1maw1-20
