nameA,nameB,RMSD(OTMol),alpha,mismatched_bond,assignment
ALPRAL10_2_fixed_backbone.xyz,RUQVAB_fixed_backbone.xyz,1.6440167492689597,,0,[ 4  5  6  7  8  9 10 11 12 13 14 15  0  1  2  3]
CGPSAQ_fixed_backbone.xyz,DABVIL_fixed_backbone.xyz,1.260579387376211,,0,[ 8  9 10 11 12 13 14 15 16 17 18 19  0  1  2  3  4  5  6  7]
BINJIR_fixed_backbone.xyz,DUYTIA_fixed_backbone.xyz,1.4666061609360628,,0,[ 5  4  7  6  8 11  9 10 12 15 13 14 16 19 17 18 20 23 21 22  0  3  1  2]
TALVAD_fixed_backbone.xyz,ZOHMIS_fixed_backbone.xyz,1.1590461690372675,,0,"[20 21 22 23 24 25 26 27  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15
 16 17 18 19]"
DASXIE_fixed_backbone.xyz,EVAPUM_fixed_backbone.xyz,2.104951978168491,,0,"[17 19 18 16 21 23 22 20 25 27 26 24 29 31 30 28  1  3  2  0  5  7  6  4
  9 11 10  8 13 15 14 12]"
