nameA,nameB,RMSD(OTMol),alpha,mismatch_bond,assignment
4csv_imatinib,4csv_imatinib_conf0,3.6192490739818877,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf1,4.719066827601548,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf2,3.66868357465914,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf3,4.168686172566339,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf4,3.5094664279920567,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf5,2.477599690877028,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf6,3.856831409917595,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf7,2.590894285559431,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf8,3.24937100248153,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf9,3.9968077029038582,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf10,4.1335384824758235,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf11,3.6502696638190244,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf12,3.7603321870571285,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf13,3.325654231176442,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf14,3.459512071016596,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf15,2.5775667765478842,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf16,3.910335778151422,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf17,3.3212980898866937,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
4csv_imatinib,4csv_imatinib_conf18,4.1089315502246295,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 26 25
 24 23 22 27 28 34 33 31 32 30 29 35 36]"
4csv_imatinib,4csv_imatinib_conf19,3.4701318733796405,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 34 33 31 32 30 29 35 36]"
