nameA,nameB,RMSD(OTMol+element name),# atoms,alpha,mismatch_bond,assignment
s1maw1-1,s1maw1-2,1.6667468231622053,17,,0,[ 0  2  4  3  1  5  6  7  9  8 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-3,0.5839615633828438,17,,0,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-4,0.11538510897871562,17,,0,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-5,0.54711656292459,17,,0,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-6,1.2781166440066578,17,,0,[ 0  2  4  3  1  5  8  7  9  6 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-7,1.6150426934043498,17,,0,[ 0  4  1  3  2  5  6  7  9  8 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-8,1.334998435326858,17,,0,[ 0  2  4  3  1  5  8  7  6  9 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-9,1.3914743706569377,17,,0,[ 0  1  2  3  4  5  6  7  9  8 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-10,0.4183596086639191,17,,0,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-11,0.8340878786983801,17,,0,[ 0  4  1  3  2  5  6  7  8  9 10 13 12 11 14 15 16]
s1maw1-1,s1maw1-12,0.553505228477418,17,,0,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-13,0.9769546885186631,17,,0,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-14,1.3617848662372078,17,,0,[ 0  2  4  3  1  5  8  7  6  9 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-15,0.4902559432093143,17,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-16,0.4113452503916782,17,,0,[ 0  1  2  3  4  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-17,1.6539595268023384,17,,0,[ 0  4  2  3  1  5  8  7  9  6 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-18,1.6119288113151593,17,,0,[ 0  2  1  3  4  5  8  7  9  6 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-19,1.1432819969789587,17,,0,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-20,1.8060306184455162,17,,0,[ 0  2  4  3  1  5  6  7  9  8 10 11 13 12 14 16 15]
