nameA,nameB,RMSD(OTMol),alpha,mismatch_bond,assignment
1ln1_DLP,1ln1_DLP_conf32,4.6224436923849535,,2,"[ 0  1  2  3  4  7  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf33,6.103356523382095,,0,"[ 0  1  2  3  4  7  6  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf34,6.100416298801131,,2,"[ 0  1  2  3  4  6  7  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf35,3.702280287885111,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf36,4.247469891629986,,0,"[ 0  1  2  3  4  7  6  5  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf37,4.604080946930707,,0,"[ 0  1  2  3  4  5  7  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf38,5.571848678687465,,0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf39,4.484159881885875,,0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf40,5.400354303348535,,0,"[ 0  1  2  3  4  7  5  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf41,4.49325538456767,,1,"[ 0  1  2  3  4  5  7  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf42,5.070815234585165,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf43,5.7415377515632136,,1,"[ 0  1  2  3  4  5  7  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf44,5.603344464513078,,1,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf45,6.028318002276759,,0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf46,4.557573507536784,,0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf47,5.085303541550977,,0,"[ 0  1  2  3  4  5  7  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 50 49 51 52 53]"
1ln1_DLP,1ln1_DLP_conf48,5.726747608456522,,0,"[ 0  1  2  3  4  5  7  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
1ln1_DLP,1ln1_DLP_conf49,4.439099855498052,,0,"[ 0  1  2  3  4  5  7  6  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]"
