nameA,nameB,method,RMSD(OTMol),#,time,assignment
Wat_13_cluster_86223_lowest_1.xyz,Wat_13_cluster_86236_lowest_14.xyz,emd,0.6889633776317421,13,0.6194489002227783,"[33 34 35 12 14 13 30 31 32 36 38 37 27 29 28  6  7  8  3  4  5 21 22 23
 24 26 25  9 11 10 15 17 16  0  1  2 18 20 19]"
Wat_14_cluster_144683_lowest_9.xyz,Wat_14_cluster_144693_lowest_19.xyz,emd,0.7633480576267637,14,0.7545361518859863,"[24 25 26 27 29 28 18 19 20 30 32 31 12 13 14 21 22 23  3  5  4 39 41 40
  6  8  7 36 38 37 33 35 34  9 10 11  0  2  1 15 17 16]"
Wat_15_cluster_225216_lowest_9.xyz,Wat_15_cluster_225222_lowest_15.xyz,emd,1.143040347930928,15,0.6606869697570801,"[42 44 43 15 17 16  0  1  2 39 40 41 36 37 38 12 14 13  3  4  5 21 23 22
 33 34 35  6  7  8  9 11 10 24 25 26 18 19 20 27 28 29 30 31 32]"
Wat_16_cluster_321029_lowest_2.xyz,Wat_16_cluster_321036_lowest_9.xyz,emd,1.4619662931109112,16,0.7867929935455322,"[ 9 11 10 12 13 14 36 37 38  3  5  4 27 28 29 42 43 44 45 46 47  0  1  2
 39 41 40  6  8  7 18 20 19 33 35 34 30 32 31 24 25 26 21 22 23 15 16 17]"
Wat_17_cluster_417889_lowest_3.xyz,Wat_17_cluster_417896_lowest_10.xyz,emd,1.046087499568765,17,0.7566289901733398,"[39 40 41 36 38 37 21 23 22 12 14 13  6  7  8 24 25 26  3  4  5 48 50 49
 45 46 47 30 31 32 42 43 44 18 19 20 33 34 35 27 28 29 15 16 17  0  1  2
  9 10 11]"
Wat_18_cluster_524876_lowest_3.xyz,Wat_18_cluster_524883_lowest_10.xyz,emd,1.8791526688565228,18,0.9323649406433105,"[42 44 43 24 26 25 45 47 46 36 38 37 21 23 22 15 16 17 18 19 20 48 50 49
 51 53 52  0  2  1 33 35 34  6  8  7 12 14 13 30 31 32 39 41 40 27 28 29
  9 10 11  3  5  4]"
Wat_19_cluster_637554_lowest_2.xyz,Wat_19_cluster_637555_lowest_3.xyz,emd,0.5603650142187808,19,0.9224603176116943,"[42 44 43 36 38 37 24 25 26 21 22 23  3  5  4 15 17 16 18 19 20 48 49 50
 33 34 35 30 31 32 12 14 13 39 41 40 54 56 55 51 53 52 27 29 28  6  8  7
  9 11 10  0  2  1 45 47 46]"
Wat_20_cluster_744373_lowest_13.xyz,Wat_20_cluster_744380_lowest_20.xyz,emd,1.1718462726371035,20,0.9729180335998535,"[54 55 56  3  4  5 33 34 35 57 58 59 45 46 47  6  8  7 21 23 22 24 25 26
 18 19 20 39 41 40 30 32 31  0  1  2 12 14 13 15 16 17 36 37 38 42 43 44
  9 11 10 51 52 53 48 49 50 27 29 28]"
Wat_21_cluster_865752_lowest_14.xyz,Wat_21_cluster_865754_lowest_16.xyz,emd,0.7842099355408637,21,0.9410791397094727,"[57 58 59 21 23 22 18 19 20 36 38 37 60 62 61 39 40 41 12 13 14 30 32 31
 48 50 49  3  4  5  6  8  7 42 43 44 45 47 46 51 53 52 27 28 29 33 34 35
  9 11 10 24 26 25  0  1  2 54 55 56 15 16 17]"
Wat_22_cluster_1179802_lowest_4.xyz,Wat_22_cluster_1179808_lowest_10.xyz,emd,1.5087237554925257,22,1.0801920890808105,"[21 22 23 24 25 26 60 61 62 45 47 46 30 32 31 36 38 37 15 17 16  3  5  4
 12 14 13 54 55 56 51 53 52 39 41 40 57 58 59 33 35 34  0  2  1 42 44 43
 63 65 64 18 19 20  6  7  8  9 10 11 48 49 50 27 29 28]"
Wat_23_cluster_1574526_lowest_17.xyz,Wat_23_cluster_1574529_lowest_20.xyz,emd,0.7005589886093667,23,0.8925678730010986,"[39 40 41  6  8  7 12 13 14 15 16 17 51 52 53 36 37 38 63 64 65  3  5  4
 48 49 50 45 47 46 60 62 61  0  2  1 21 22 23 54 55 56 57 59 58  9 11 10
 27 29 28 18 20 19 33 35 34 30 32 31 42 43 44 66 68 67 24 26 25]"
Wat_24_cluster_1928487_lowest_14.xyz,Wat_24_cluster_1928493_lowest_19.xyz,emd,0.8666514300682853,24,1.0154478549957275,"[45 47 46 48 50 49 66 67 68 24 25 26 63 65 64 54 56 55 42 43 44 39 40 41
 21 22 23 15 16 17 69 71 70  3  4  5 27 28 29 12 14 13 30 32 31  9 10 11
 57 58 59  0  2  1  6  8  7 36 38 37 51 52 53 18 19 20 60 61 62 33 34 35]"
Wat_25_cluster_2243818_lowest_16.xyz,Wat_25_cluster_2243821_lowest_19.xyz,emd,1.1971140740347788,25,0.9626991748809814,"[57 58 59 12 13 14 18 20 19 15 16 17 36 38 37 24 26 25 69 71 70 39 40 41
 42 43 44 72 73 74 27 29 28  6  7  8 54 56 55 30 31 32 66 68 67 48 50 49
 33 34 35 21 23 22  9 11 10 45 46 47  0  1  2 63 64 65 51 52 53  3  4  5
 60 62 61]"
Wat_26_cluster_2726711_lowest_2.xyz,Wat_26_cluster_2726725_lowest_16.xyz,emd,1.6189816117049356,26,1.2803971767425537,"[45 47 46 48 50 49 75 77 76 63 64 65  3  5  4 33 34 35 36 38 37  9 10 11
 24 26 25 57 59 58 39 40 41 18 20 19 15 16 17 21 22 23  6  8  7 27 28 29
 66 68 67 51 53 52 30 31 32 72 73 74  0  1  2 54 55 56 60 61 62 12 13 14
 69 71 70 42 44 43]"
Wat_27_cluster_3257215_lowest_3.xyz,Wat_27_cluster_3257225_lowest_13.xyz,emd,1.585261730006587,27,1.3699631690979004,"[72 74 73 15 16 17  6  7  8  0  2  1 75 77 76 54 56 55 66 67 68 30 31 32
 24 25 26 21 23 22 63 65 64 51 53 52  3  4  5 36 37 38 69 71 70 18 20 19
 60 62 61 48 50 49  9 10 11 57 59 58 45 47 46 27 28 29 39 41 40 33 34 35
 42 44 43 78 79 80 12 13 14]"
Wat_28_cluster_3649363_lowest_6.xyz,Wat_28_cluster_3649374_lowest_17.xyz,emd,1.5176774534494148,28,1.353701114654541,"[24 25 26 39 41 40 45 46 47 51 53 52 30 32 31 60 62 61 18 19 20 75 77 76
 12 13 14 15 17 16  6  8  7 78 80 79  0  2  1 33 34 35 66 67 68  3  4  5
  9 10 11 57 58 59 69 70 71 21 23 22 54 56 55 27 29 28 42 44 43 63 64 65
 81 83 82 72 73 74 36 38 37 48 50 49]"
Wat_29_cluster_3925402_lowest_8.xyz,Wat_29_cluster_3925412_lowest_18.xyz,emd,1.693842062181702,29,1.4239990711212158,"[63 65 64 75 76 77  3  4  5 66 67 68 81 83 82 84 86 85 69 70 71 60 62 61
 72 73 74 45 46 47 15 17 16 42 43 44 57 59 58 24 25 26 33 35 34 27 29 28
 48 50 49 12 13 14  0  1  2 36 37 38 51 52 53 54 56 55 18 19 20 30 32 31
  6  7  8 39 40 41 21 22 23  9 11 10 78 79 80]"
Wat_30_cluster_4221227_lowest_2.xyz,Wat_30_cluster_4221240_lowest_15.xyz,emd,1.4541427356513554,30,1.4008209705352783,"[66 67 68 27 29 28 75 77 76 15 16 17 81 83 82 84 86 85 21 23 22 18 19 20
  9 10 11 60 62 61 57 58 59 69 70 71 78 80 79 36 37 38  0  1  2 30 31 32
  3  5  4  6  8  7 87 88 89 63 65 64 24 25 26 72 74 73 33 35 34 54 56 55
 48 49 50 39 41 40 42 44 43 45 47 46 12 14 13 51 53 52]"
