nameA,nameB,RMSD(OTMol+element name),# atoms,alpha,assignment
252_FGG55,253_FGG99,2.110433242802678,37,0.45,"[ 2  1  0  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 22 24 23
 25 20 26 27 36 33 34 31 32 29 30 35 28]"
252_FGG55,254_FGG300,2.5751609907530884,37,0.93,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 22 25 23
 20 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,255_FGG252,2.509745871328753,37,0.54,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 24 23
 25 22 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,256_FGG366,2.6102947686733833,37,0.28,"[ 2  1  0  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 25 24 23
 36 22 26 35 34 33 32 31 30 29 28 27 20]"
252_FGG55,257_FGG215,2.3146901947796397,37,0.65,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 20 22 24 23
 25 21 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,258_FGG224,2.301782115747727,37,0.19,"[ 0 31  2 32 29 30 34  7 36 33 10 35 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 11  8  4  6  1  5  9  3 27 28]"
252_FGG55,259_FGG380,1.4303607085448518,37,0.32,"[ 2  1  0  5  4  3  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,2.2031161803815436,37,0.1,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 21 22 24 23
 25 20 26 35 36 29 34 31 32 33 30 27 28]"
252_FGG55,261_FGG444,2.3556945046993545,37,0.18,"[ 2  1  0  5  4  3  6  7  8  9 10 11 12 13 14 15 16 17 18 19 22 20 21 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,2.409235312028563,37,0.35000000000000003,"[ 2  1  0  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 22 21 24 23
 25 20 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,2.0578499743613774,37,0.48,"[ 2  1  0  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,264_FGG114,2.173585879017454,37,0.56,"[ 2  1  0  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 21 20 22 23
 25 24 26 27 36 33 30 31 32 29 34 35 28]"
252_FGG55,265_FGG357,2.0186988854133023,37,0.1,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 22 21 24 23
 25 20 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,266_FGG691,2.900816620362751,37,0.22,"[ 2  1  0  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 21 23
 36 24 35 33 34 31 32 29 30 27 28 26 25]"
