nameA,nameB,RMSD(OTMol+atom connectivity),# atoms,alpha,assignment
252_FGG55,253_FGG99,2.252221382487958,37,1.0,"[10  1  2  3 11 12  5  7  8  9  0  4 13  6 14 20 16 17 18 19 15 21 24 23
 25 22 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,254_FGG300,2.6064366051050807,37,1.0,"[10  1  2  3  4  5  6  7  8  9  0 11 12 13 14 21 16 17 18 19 20 15 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,255_FGG252,2.565707303633552,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 24 23
 25 22 26 33 34 31 32 29 30 27 28 35 36]"
252_FGG55,256_FGG366,2.749069167922715,37,1.0,"[10  1  2  3  4  5  6  7  8  9  0 11 12 13 14 20 16 17 18 19 21 15 25 23
 24 22 26 27 28 31 30 33 32 29 34 35 36]"
252_FGG55,257_FGG215,2.172535843829143,37,1.0,"[10  1  2  3  4 12  5  7  8  9  0 11 13  6 14 21 16 17 18 19 15 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,258_FGG224,2.3977069512424407,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 24 14 15 16 17 18 19 21 20 22 23
 25 13 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.4953481292758255,37,1.0,"[ 0  1  2  3  4 12  5  7 15  9 10 11 13  6 14  8 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,2.2365075162519785,37,1.0,"[10  1  2  3 11 12  5  7  8  9  0  4 13  6 14 20 16 17 18 19 15 21 24 23
 25 22 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,261_FGG444,2.3079684207786886,37,1.0,"[ 0  1  2  3  4 12  5  7  8  9 10 11 13  6 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,2.236072816377961,37,1.0,"[10  1  2  3  4 12  6  7  8  9  0 11 13  5 14 20 16 17 18 19 15 21 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,263_FGG80,1.9054061641344233,37,1.0,"[ 0  1  2  3  4 12  5  7 15  9 10 11 13  6 14  8 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,264_FGG114,2.11815147356652,37,1.0,"[ 0  1  2  3  4  6  5  7 15  9 10 11 12 13 14  8 16 17 18 19 21 20 22 23
 25 24 26 35 36 31 28 33 34 27 30 29 32]"
252_FGG55,265_FGG357,2.1403141309397484,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 24 23
 25 22 26 35 36 27 34 33 30 29 32 31 28]"
252_FGG55,266_FGG691,3.0400955230485964,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 24 26 35 34 31 32 29 30 27 28 33 36]"
