nameA,nameB,RMSD(OTMol),alpha,# mismatched bond,assignment
8w4x_BGCGLC,8w4x_BGCGLC_conf35,1.0008673948465732,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf36,1.2888474131368626,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf37,1.0817656327892258,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf38,1.248400628208464,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf39,1.3619770881136912,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf40,1.3695298217471452,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf41,0.773342244854295,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf42,1.2350078258632897,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf43,1.3056483667930399,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf44,1.5268989120611318,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf45,1.0671398560055816,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf46,1.0041310640612535,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf47,1.1751757870414417,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf48,1.5989073871860338,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
8w4x_BGCGLC,8w4x_BGCGLC_conf49,0.9987250678609642,,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22]
