nameA,nameB,RMSD(OTMol+element name),# atoms,alpha,assignment
s1maw1-1,s1maw1-2,1.2932949026392093,17,0.18,[ 0  3  4  2  1  5  6  7 12  8 10 13  9 11 14 16 15]
s1maw1-1,s1maw1-3,0.5839615633828438,17,0.14,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-4,0.11538510897871562,17,0.11,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-5,0.54711656292459,17,0.02,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-6,0.7883345576732507,17,0.18,[ 0  2  4  3  1  5  9  7 12  6 10 13  8 11 14 16 15]
s1maw1-1,s1maw1-7,1.1243588229661046,17,0.13,[ 0  3  2  4  1  5  6  7 13  8 10 11  9 12 14 16 15]
s1maw1-1,s1maw1-8,0.7214752136585885,17,0.1,[ 0  2  4  3  1  5  6  7 13  8 10 11  9 12 14 16 15]
s1maw1-1,s1maw1-9,0.8038640211937703,17,0.08,[ 0  1  2  3  4  5  6  7 12  8 10 13  9 11 14 16 15]
s1maw1-1,s1maw1-10,0.4183596086639191,17,0.07,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-11,0.5628080351186672,17,0.23,[ 0  4  1  3  2  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-12,0.553505228477418,17,0.22,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-13,1.0652011096507608,17,0.01,[ 0  2  4  3  1  5  9  7 12  8 10 13  6 11 14 16 15]
s1maw1-1,s1maw1-14,1.2566868496901216,17,0.23,[ 0  2  4  3  1  5  8  7 11  9 10 13  6 12 14 16 15]
s1maw1-1,s1maw1-15,0.4902559432093143,17,0.15,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-16,0.4113452503916782,17,0.03,[ 0  1  2  3  4  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-17,0.9658364403955562,17,0.11,[ 0  3  2  4  1  5  8  7 11  9 10 12  6 13 14 16 15]
s1maw1-1,s1maw1-18,0.923923312864299,17,0.03,[ 0  3  1  2  4  5  8  7 11  9 10 12  6 13 14 16 15]
s1maw1-1,s1maw1-19,1.0992692247648406,17,0.05,[ 0  3  2  4  1  5  8  7  9  6 10 12 13 11 14 16 15]
s1maw1-1,s1maw1-20,1.4559588275756454,17,0.01,[ 0  1  4  2  3  5  6  7 13  8 10 12  9 11 14 16 15]
