nameA,nameB,RMSD(OTMol+atom connectivity),# atoms,alpha,assignment
252_FGG55,253_FGG99,2.203739462034658,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,254_FGG300,2.640150396205798,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,255_FGG252,2.5858984158184843,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,256_FGG366,2.731794085861378,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,257_FGG215,2.3641188298350726,37,1.0,"[ 0  1  2  3  4 12  5  7  8  9 10 11  6 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,258_FGG224,2.447736424778888,37,1.0,"[ 0  1  2  3  4 12  5  7  8  9 10 11  6 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.6056456777713648,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,2.2813965393021154,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,261_FGG444,2.408901277305396,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 25 24 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,2.4442785253769133,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 27 28 31 32 29 30 33 34]"
252_FGG55,263_FGG80,2.070182006233749,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,264_FGG114,1.9207058425980097,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 13 12 14 15 16 17 18 19 21 20 22 23
 24 25 26 35 36 27 28 31 32 29 30 33 34]"
252_FGG55,265_FGG357,1.9637834769474947,37,1.0,"[ 0  1  2  3  4  6  5  7  8  9 10 11 12 13 14 15 16 17 18 19 21 20 22 23
 24 25 26 35 36 27 28 31 32 29 30 33 34]"
252_FGG55,266_FGG691,3.1179721075413163,37,1.0,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 35 36 33 34 31 32 29 30 27 28]"
