nameA,nameB,method,RMSD(otmol),memory_used
10-1,10-2,emd,0.32054196237103044,0.0234375
50-1,50-2,emd,0.3425073241025574,0.42578125
100-1,100-2,emd,0.21349832586653358,6.41796875
150-1,150-2,emd,0.19320547504107016,11.05859375
200-1,200-2,emd,0.4002568023475569,12.00390625
300-1,300-2,emd,0.12170261072286691,33.8125
500-1,500-2,emd,0.10584722459346331,98.84765625
1000-1,1000-2,emd,0.09727697022670911,421.98046875
