nameA,nameB,RMSD(OTMol),alpha,assignment
CEJSUF_fixed_backbone.xyz,RUQVAB_fixed_backbone.xyz,1.2529858098634894,0.12,[ 8  9 10 11 12 13 14 15  0  1  2  3  4  5  6  7]
CGPSAQ_fixed_backbone.xyz,FUDWIK_fixed_backbone.xyz,0.8559254458480909,0.31,[ 4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19  0  1  2  3]
BUYXOI_fixed_backbone.xyz,GGAAGG_fixed_backbone.xyz,1.4511653184839268,0.22,[18 16 19 17 20 23 22 21  0  3  2  1  4  7  6  5  8 11 10  9 12 15 14 13]
JUXHAL_fixed_backbone.xyz,ZORRED_fixed_backbone.xyz,1.5197205655505823,0.18,"[20 17 14 15 16 13 10 11 12  9  6  7  8  5  2  3  4  1 26 27  0 25 22 23
 24 21 18 19]"
NIWHEH_fixed_backbone.xyz,cNPF_NMR_backbone.xyz,1.1151885606834953,0.17,"[20 21 22 23 24 25 26 27 28 29 30 31  0  1  2  3  4  5  6  7  8  9 10 11
 12 13 14 15 16 17 18 19]"
