nameA,nameB,RMSD(OTMol),alpha,# mismatched bond,assignment
5bvs_EIC,5bvs_EIC_model_37_chainB_pH74,1.285485822188108,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 18 19]
5bvs_EIC,5bvs_EIC_model_38_chainB_pH74,1.2708943657631226,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 18 19]
5bvs_EIC,5bvs_EIC_model_39_chainB_pH74,1.224943929173784,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 19 18]
5bvs_EIC,5bvs_EIC_model_40_chainB_pH74,1.2520846854648964,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 19 18]
5bvs_EIC,5bvs_EIC_model_41_chainB_pH74,1.2070718787792245,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 18 19]
5bvs_EIC,5bvs_EIC_model_42_chainB_pH74,1.2443821232018832,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 18 19]
5bvs_EIC,5bvs_EIC_model_43_chainB_pH74,1.2009355246206466,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 19 18]
5bvs_EIC,5bvs_EIC_model_44_chainB_pH74,1.1980085360048038,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 19 18]
5bvs_EIC,5bvs_EIC_model_45_chainB_pH74,1.2121668367873604,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 18 19]
5bvs_EIC,5bvs_EIC_model_46_chainB_pH74,1.1238419834369413,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 19 18]
5bvs_EIC,5bvs_EIC_model_47_chainB_pH74,1.2567690871203094,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 19 18]
5bvs_EIC,5bvs_EIC_model_48_chainB_pH74,1.1641396468103034,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 19 18]
5bvs_EIC,5bvs_EIC_model_49_chainB_pH74,1.2020952101676068,,0,[17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 18 19]
