nameA,nameB,RMSD(OTMol+element name),# atoms,alpha,assignment
s1maw1-1,s1maw1-2,1.3206278002133334,17,0.07,[ 0  3  1  2  4  5  6  7  9 12 10 13  8 11 14 16 15]
s1maw1-1,s1maw1-3,0.5839615633828438,17,0.14,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-4,0.11538510897871562,17,0.39,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-5,0.8210429874439588,17,0.38,[ 0  2  4  3  1  5  9  7  6  8 10 12 11 13 14 16 15]
s1maw1-1,s1maw1-6,0.9983733284761478,17,0.38,[ 0  2  4  3  1  5  9  7 12  6 10 11  8 13 14 16 15]
s1maw1-1,s1maw1-7,1.1866092168194224,17,0.22,[ 0  4  2  3  1  5  6  7 12 13 10 11  8  9 14 16 15]
s1maw1-1,s1maw1-8,0.7214752136585885,17,0.06,[ 0  2  4  3  1  5  6  7 13  8 10 11  9 12 14 16 15]
s1maw1-1,s1maw1-9,1.126113574477948,17,0.55,[ 0  3  2  1  4  5  6  7 12  8 10 13  9 11 14 16 15]
s1maw1-1,s1maw1-10,0.4183596086639191,17,0.66,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-11,0.5628080351186672,17,0.42,[ 0  4  1  3  2  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-12,0.553505228477418,17,0.42,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-13,1.2083268322630807,17,0.26,[ 0  2  4  3  1  5  6  7 11  9 10 13  8 12 14 16 15]
s1maw1-1,s1maw1-14,1.0823189759675473,17,0.23,[ 0  2  4  3  1  5 13  7 12  8 10 11  9  6 14 16 15]
s1maw1-1,s1maw1-15,0.4902559432093143,17,0.5700000000000001,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-16,0.4113452503916782,17,0.5,[ 0  1  2  3  4  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-17,1.1746331766259843,17,0.11,[ 0  3  2  4  1  5  6  7 11  9 10 12  8 13 14 16 15]
s1maw1-1,s1maw1-18,1.2361199819779134,17,0.59,[ 0  2  1  3  4  5  8  7 11  9 10 12  6 13 14 16 15]
s1maw1-1,s1maw1-19,1.31201091318576,17,0.04,[ 0  1  3  4  2  5  6  7 12  9 10 13  8 11 14 16 15]
s1maw1-1,s1maw1-20,1.4493329444180838,17,0.28,[ 0  1  4  2  3  5  8  7 13  6 10 11  9 12 14 16 15]
