nameA,nameB,method,RMSD(otmol),memory_used
10-1,10-2,sinkhorn,0.3205419623710304,0.00390625
50-1,50-2,sinkhorn,0.3136606492958567,0.84765625
100-1,100-2,sinkhorn,0.21349807801396287,6.390625
150-1,150-2,sinkhorn,0.19320547504107016,7.62109375
200-1,200-2,sinkhorn,0.3823649193006776,12.75390625
300-1,300-2,sinkhorn,0.12170260981302453,35.30859375
500-1,500-2,sinkhorn,0.10584722459346331,99.23828125
1000-1,1000-2,sinkhorn,0.25184435235689207,420.8046875
