nameA,nameB,RMSD(OTMol+atom type),# atoms,alpha,assignment
252_FGG55,253_FGG99,2.002994772649854,37,0.19,"[10  9  2  6 11 12  5  7 15  1  0  4 13  8 14 36 16 17 18 19 21 22 24 23
 25 20 26 27 28 29 30 31 32 33  3 35 34]"
252_FGG55,254_FGG300,2.280103783552554,37,0.39,"[10  1  2  3  4  5  6  7  8  9  0 11 13 25 14 24 16 17 18 19 15 12 22 23
 36 20 26 35 34 33 32 31 30 29 28 27 21]"
252_FGG55,255_FGG252,2.1514306322764183,37,0.91,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 23 19 24 34 36 18
 25 22 35 33 28 31 32 29 30 27 21 26 20]"
252_FGG55,256_FGG366,2.486647342857962,37,0.17,"[10  1  2  3  4  5  6  7  8  9  0 11 15 21 14 20 16 17 18 19 12 13 24 23
 28 25 27 29 30 31 32 33 34 35 36 26 22]"
252_FGG55,257_FGG215,1.8818795489248812,37,0.1,"[10  1  2  3 11 12  5  7  8  9  0  4 13  6 14 36 16 17 18 19 22 20 24 23
 25 21 26 27 28 29 30 31 32 33 34 35 15]"
252_FGG55,258_FGG224,2.5000101255719684,37,0.15,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 15 16 17 18 19 22 20 25 23
 21 24 26 35 36 33 34 31 32 29 30 27 28]"
252_FGG55,259_FGG380,1.3224685098464506,37,0.17,"[ 0  1  2  6  4  3  5  7 15  9 10 11 12 13 14  8 16 17 18 19 21 20 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,260_FGG412,1.889615233732701,37,0.67,"[10  9  2  6 11 12  5  7 13  1  0  4  8 34 14 36 16 17 18 19 22 21 24 23
 25 15 26 27 28 29 30 31 32 33  3 35 20]"
252_FGG55,261_FGG444,2.195558770889546,37,0.07,"[ 0  1  2  3  4  6  5  7  8  9 10 11 13 12 14 24 16 17 18 19 20 22 25 23
 21 15 26 27 28 29 30 31 32 33 34 35 36]"
252_FGG55,262_FGG470,1.953356585238463,37,0.44,"[10  1  2  3  4 12  6  7  8  9  0 11 13 28 14 24 16 17 18 19 22 21 20 23
 25 15 26 35 36 33 34 31 32 29 30 27  5]"
252_FGG55,263_FGG80,1.559430220810328,37,0.23,"[ 0  1  2  6  4  3  5  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 28 27 26 24 35 36 33 34 31 32 29 30]"
252_FGG55,264_FGG114,1.9526822228236869,37,0.76,"[ 0  1  2  5  4  6  3  7 13  9 10 11 12 30 14 28 16 17 18 19 20 22 24 23
 21 15 26 35 25 33 36 31 34 29 32 27  8]"
252_FGG55,265_FGG357,1.9364959325490845,37,0.17,"[ 0  1  2  5  4  6  3  7 15  9 10 11 12 13 14 28 16 17 18 19 21 22 24 23
 25 20 26 35 36 33 34 31 32 29 30 27  8]"
252_FGG55,266_FGG691,2.6793387157929,37,0.39,"[10  1  2  3  4  6  5  7  8  9  0 11 12 13 14 15 16 17 18 19 34 32 21 23
 36 24 26 33 28 31 30 29 25 27 20 35 22]"
