Memory_Usage_MB,RMSD(ArbAlign),nameA,nameB
0.1015625,"(0.32054196237103044, (1, 0, 2), (-1, 1, -1))",10-1,10-2
1.13671875,"(0.3785734400835834, (0, 1, 2), (1, -1, -1))",50-1,50-2
1.9921875,"(0.2122750424691451, (0, 1, 2), (1, 1, 1))",100-1,100-2
3.15625,"(0.2983410363312042, (0, 1, 2), (1, -1, 1))",150-1,150-2
3.95703125,"(0.5356416145624101, (2, 1, 0), (-1, -1, 1))",200-1,200-2
10.8359375,"(0.1217026131188734, (0, 1, 2), (1, 1, 1))",300-1,300-2
25.953125,"(0.5135742563836682, (1, 0, 2), (1, 1, -1))",500-1,500-2
122.296875,"(0.2214082418401077, (0, 1, 2), (-1, 1, -1))",1000-1,1000-2
