RMSD(ArbAlign),nameA,nameB,reflect,swap
0.6606846545893685,8w4x_BGCGLC,8w4x_sugars_model_0_chainC_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.46847336051381633,8w4x_BGCGLC,8w4x_sugars_model_1_chainC_pH74,"(1, 1, -1)","(2, 1, 0)"
1.368842543338476,8w4x_BGCGLC,8w4x_sugars_model_2_chainC_pH74,"(1, 1, 1)","(2, 0, 1)"
0.7709950061955443,8w4x_BGCGLC,8w4x_sugars_model_3_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)"
0.49004508080210335,8w4x_BGCGLC,8w4x_sugars_model_4_chainC_pH74,"(1, -1, -1)","(2, 0, 1)"
0.47427043989927964,8w4x_BGCGLC,8w4x_sugars_model_5_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)"
0.7863019445033324,8w4x_BGCGLC,8w4x_sugars_model_6_chainC_pH74,"(-1, 1, -1)","(2, 0, 1)"
1.0874570316860264,8w4x_BGCGLC,8w4x_sugars_model_7_chainC_pH74,"(1, -1, 1)","(2, 1, 0)"
1.4046763700624647,8w4x_BGCGLC,8w4x_sugars_model_8_chainC_pH74,"(-1, 1, 1)","(2, 1, 0)"
1.531619492699204,8w4x_BGCGLC,8w4x_sugars_model_9_chainC_pH74,"(1, -1, 1)","(0, 1, 2)"
0.7888334009689698,8w4x_BGCGLC,8w4x_sugars_model_10_chainC_pH74,"(1, 1, -1)","(2, 1, 0)"
1.3814778799294702,8w4x_BGCGLC,8w4x_sugars_model_11_chainC_pH74,"(1, -1, 1)","(1, 0, 2)"
1.288909889788167,8w4x_BGCGLC,8w4x_sugars_model_12_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)"
1.360715848415533,8w4x_BGCGLC,8w4x_sugars_model_13_chainC_pH74,"(1, 1, -1)","(2, 1, 0)"
1.4420033236358403,8w4x_BGCGLC,8w4x_sugars_model_14_chainC_pH74,"(1, 1, -1)","(1, 2, 0)"
0.4776846550720715,8w4x_BGCGLC,8w4x_sugars_model_15_chainC_pH74,"(1, 1, -1)","(1, 0, 2)"
0.7867549932239936,8w4x_BGCGLC,8w4x_sugars_model_16_chainC_pH74,"(1, 1, 1)","(1, 2, 0)"
1.461468584867581,8w4x_BGCGLC,8w4x_sugars_model_17_chainC_pH74,"(-1, -1, 1)","(1, 0, 2)"
1.4070929067623201,8w4x_BGCGLC,8w4x_sugars_model_18_chainC_pH74,"(-1, -1, -1)","(1, 0, 2)"
0.7824684769992589,8w4x_BGCGLC,8w4x_sugars_model_19_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)"
1.192230995979273,8w4x_BGCGLC,8w4x_sugars_model_20_chainC_pH74,"(1, 1, -1)","(1, 0, 2)"
1.0607903100598841,8w4x_BGCGLC,8w4x_sugars_model_21_chainC_pH74,"(1, -1, 1)","(2, 0, 1)"
1.4580535898469862,8w4x_BGCGLC,8w4x_sugars_model_22_chainC_pH74,"(1, -1, 1)","(0, 2, 1)"
1.1271391176571988,8w4x_BGCGLC,8w4x_sugars_model_23_chainC_pH74,"(-1, 1, -1)","(0, 1, 2)"
1.180664905461925,8w4x_BGCGLC,8w4x_sugars_model_24_chainC_pH74,"(-1, 1, -1)","(0, 1, 2)"
1.0296247793873263,8w4x_BGCGLC,8w4x_sugars_model_25_chainC_pH74,"(1, -1, -1)","(0, 1, 2)"
1.1909928346277998,8w4x_BGCGLC,8w4x_sugars_model_26_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)"
1.1492123425461112,8w4x_BGCGLC,8w4x_sugars_model_27_chainC_pH74,"(-1, -1, 1)","(0, 1, 2)"
1.3004671158724908,8w4x_BGCGLC,8w4x_sugars_model_28_chainC_pH74,"(-1, -1, -1)","(2, 1, 0)"
1.1461860691779657,8w4x_BGCGLC,8w4x_sugars_model_29_chainC_pH74,"(-1, 1, -1)","(2, 0, 1)"
1.5313696839684716,8w4x_BGCGLC,8w4x_sugars_model_30_chainC_pH74,"(-1, -1, 1)","(0, 1, 2)"
1.1866731831409478,8w4x_BGCGLC,8w4x_sugars_model_31_chainC_pH74,"(1, -1, -1)","(1, 2, 0)"
