RMSD(ArbAlign),nameA,nameB,reflect,swap,BCI (%),mismatched bond indices
1.6646132012772707,5bvs_EIC,5bvs_EIC_model_16_chainB_pH74,"(1, -1, 1)","(2, 0, 1)",36.84210526315789,"[(0, 18), (0, 19), (1, 2), (2, 3), (4, 5), (5, 6), (7, 8)]"
1.2905233003900112,5bvs_EIC,5bvs_EIC_model_17_chainB_pH74,"(-1, 1, 1)","(0, 2, 1)",15.789473684210526,"[(0, 18), (0, 19), (1, 2)]"
1.556873835369108,5bvs_EIC,5bvs_EIC_model_18_chainB_pH74,"(1, -1, 1)","(0, 1, 2)",15.789473684210526,"[(0, 1), (2, 3), (4, 5)]"
1.4870061111056,5bvs_EIC,5bvs_EIC_model_19_chainB_pH74,"(1, 1, 1)","(0, 1, 2)",26.31578947368421,"[(0, 1), (0, 18), (0, 19), (1, 2), (3, 4)]"
1.3402003239665523,5bvs_EIC,5bvs_EIC_model_20_chainB_pH74,"(1, 1, 1)","(1, 2, 0)",15.789473684210526,"[(0, 18), (0, 19), (1, 2)]"
1.2484276635867098,5bvs_EIC,5bvs_EIC_model_21_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",15.789473684210526,"[(0, 18), (0, 19), (1, 2)]"
1.637807400567022,5bvs_EIC,5bvs_EIC_model_22_chainB_pH74,"(1, 1, 1)","(2, 1, 0)",36.84210526315789,"[(1, 2), (2, 3), (4, 5), (8, 9), (10, 11), (11, 12), (13, 14)]"
1.2340837961598388,5bvs_EIC,5bvs_EIC_model_23_chainB_pH74,"(1, -1, -1)","(1, 2, 0)",15.789473684210526,"[(0, 18), (0, 19), (1, 2)]"
1.6545641278558052,5bvs_EIC,5bvs_EIC_model_24_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",42.10526315789473,"[(0, 18), (0, 19), (1, 2), (8, 9), (10, 11), (11, 12), (13, 14), (16, 17)]"
1.5068613658497552,5bvs_EIC,5bvs_EIC_model_25_chainB_pH74,"(1, 1, 1)","(0, 2, 1)",15.789473684210526,"[(0, 1), (2, 3), (4, 5)]"
1.460210237659609,5bvs_EIC,5bvs_EIC_model_26_chainB_pH74,"(1, -1, 1)","(1, 0, 2)",10.526315789473683,"[(0, 1), (1, 2)]"
1.4870375979210653,5bvs_EIC,5bvs_EIC_model_27_chainB_pH74,"(1, -1, 1)","(2, 1, 0)",15.789473684210526,"[(12, 13), (13, 14), (16, 17)]"
1.5379848428401184,5bvs_EIC,5bvs_EIC_model_28_chainB_pH74,"(1, -1, -1)","(1, 0, 2)",36.84210526315789,"[(0, 1), (1, 2), (7, 8), (9, 10), (10, 11), (12, 13), (14, 15)]"
1.4420046811248093,5bvs_EIC,5bvs_EIC_model_29_chainB_pH74,"(1, 1, -1)","(0, 2, 1)",26.31578947368421,"[(0, 1), (1, 2), (7, 8), (9, 10), (10, 11)]"
1.660519373294767,5bvs_EIC,5bvs_EIC_model_30_chainB_pH74,"(-1, 1, 1)","(2, 0, 1)",26.31578947368421,"[(0, 1), (2, 3), (3, 4), (5, 6), (7, 8)]"
1.372668012117734,5bvs_EIC,5bvs_EIC_model_31_chainB_pH74,"(-1, -1, 1)","(2, 1, 0)",0.0,[]
1.502882035233513,5bvs_EIC,5bvs_EIC_model_32_chainB_pH74,"(-1, -1, -1)","(1, 2, 0)",10.526315789473683,"[(0, 1), (2, 3)]"
1.5385739191335603,5bvs_EIC,5bvs_EIC_model_33_chainB_pH74,"(1, -1, -1)","(0, 2, 1)",42.10526315789473,"[(0, 18), (0, 19), (1, 2), (4, 5), (7, 8), (12, 13), (13, 14), (16, 17)]"
1.4856309610293588,5bvs_EIC,5bvs_EIC_model_34_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)",31.57894736842105,"[(0, 18), (0, 19), (1, 2), (2, 3), (5, 6), (7, 8)]"
1.295638397472438,5bvs_EIC,5bvs_EIC_model_35_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",15.789473684210526,"[(0, 18), (0, 19), (1, 2)]"
1.4047232152136926,5bvs_EIC,5bvs_EIC_model_36_chainB_pH74,"(1, 1, -1)","(1, 0, 2)",31.57894736842105,"[(0, 18), (0, 19), (1, 2), (4, 5), (6, 7), (7, 8)]"
1.590377946080007,5bvs_EIC,5bvs_EIC_model_37_chainB_pH74,"(-1, -1, -1)","(1, 2, 0)",21.052631578947366,"[(0, 1), (2, 3), (5, 6), (7, 8)]"
1.2893467707977695,5bvs_EIC,5bvs_EIC_model_38_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)",15.789473684210526,"[(0, 18), (0, 19), (1, 2)]"
