RMSD(ArbAlign+atom connectivity),RMSD(ArbAlign+atom type),RMSD(ArbAlign+element name),nameA,nameB
2.064506058554422,1.8445059799317303,1.8064880455544736,252_FGG55,253_FGG99
2.5347063888579955,2.313871037442791,2.3442812443915293,252_FGG55,254_FGG300
2.47311836797924,2.216514048051607,1.97791052681637,252_FGG55,255_FGG252
2.74413759142552,2.5824337161164683,2.3962609514046997,252_FGG55,256_FGG366
1.6362539369101983,1.503713952182559,1.5997411818135412,252_FGG55,257_FGG215
0.9639633119986737,0.7462840440918397,0.7462840440918398,252_FGG55,258_FGG224
1.495348129275826,1.4350239674362568,1.373967911093683,252_FGG55,259_FGG380
2.058730079110882,1.7892320076896042,1.8420066308037513,252_FGG55,260_FGG412
1.3068993721515318,1.504495705172352,1.6146122778359957,252_FGG55,261_FGG444
1.4412310793381158,1.2742647780842693,1.274264778084269,252_FGG55,262_FGG470
1.8783181668379378,1.51960251519874,1.5016203673717672,252_FGG55,263_FGG80
1.8244693257509867,1.6150077373249994,1.5760736117159473,252_FGG55,264_FGG114
1.8466817463272216,1.5925493736986296,1.550220135174489,252_FGG55,265_FGG357
2.7172653117019507,2.403576449750018,2.157847873369137,252_FGG55,266_FGG691
