nameA,nameB,RMSD(otmol),# atoms,time,assignment,method
Wat_3_cluster_0_lowest_1.xyz,Wat_3_cluster_1_lowest_2.xyz,1.4939491208167444,9,0.4702749252319336,[3 4 5 6 8 7 0 2 1],emd
Wat_4_cluster_2_lowest_1.xyz,Wat_4_cluster_10_lowest_9.xyz,1.3910981079734717,12,0.4311401844024658,[ 9 11 10  0  1  2  3  5  4  6  8  7],emd
Wat_5_cluster_13_lowest_2.xyz,Wat_5_cluster_22_lowest_11.xyz,0.8784156521510352,15,0.4518249034881592,[ 9 11 10  0  1  2  6  8  7 12 13 14  3  5  4],emd
Wat_6_cluster_42_lowest_12.xyz,Wat_6_cluster_50_lowest_20.xyz,0.9327911098366273,18,0.463886022567749,[ 6  7  8  3  4  5  9 11 10 12 14 13 15 17 16  0  1  2],emd
Wat_7_cluster_137_lowest_1.xyz,Wat_7_cluster_147_lowest_11.xyz,0.8236841969127356,21,0.4674410820007324,[ 0  2  1 12 13 14 15 16 17  6  7  8  9 11 10 18 19 20  3  4  5],emd
Wat_8_cluster_615_lowest_9.xyz,Wat_8_cluster_616_lowest_10.xyz,0.723793894327033,24,0.47231483459472656,[ 6  7  8 18 19 20 21 22 23 12 13 14  0  2  1  3  4  5 15 17 16  9 11 10],emd
Wat_9_cluster_1184_lowest_1.xyz,Wat_9_cluster_1195_lowest_12.xyz,0.7711700196226297,27,0.5022261142730713,"[12 13 14  6  7  8 21 22 23 15 16 17  0  2  1  9 11 10 18 20 19 24 26 25
  3  5  4]",emd
Wat_10_cluster_5323_lowest_14.xyz,Wat_10_cluster_5324_lowest_15.xyz,0.5962942136971584,30,0.4616708755493164,"[12 13 14  6  7  8  0  1  2 24 26 25 15 16 17 21 23 22  3  5  4 27 29 28
  9 10 11 18 20 19]",emd
Wat_11_cluster_33413_lowest_1.xyz,Wat_11_cluster_33415_lowest_3.xyz,0.6234995473061073,33,0.5144591331481934,"[30 32 31  0  2  1  9 10 11 12 13 14 21 22 23 18 19 20  6  8  7  3  4  5
 15 17 16 24 25 26 27 29 28]",emd
Wat_12_cluster_43582_lowest_1.xyz,Wat_12_cluster_43599_lowest_18.xyz,0.8073707985933493,36,0.6761019229888916,"[12 13 14 15 16 17  0  1  2  6  7  8 24 26 25 33 35 34 30 32 31  9 10 11
 18 19 20 21 23 22 27 29 28  3  5  4]",emd
Wat_13_cluster_86223_lowest_1.xyz,Wat_13_cluster_86236_lowest_14.xyz,0.6889633776317423,39,0.6124169826507568,"[33 34 35 12 14 13 30 31 32 36 38 37 27 29 28  6  7  8  3  4  5 21 22 23
 24 26 25  9 11 10 15 17 16  0  1  2 18 20 19]",emd
