nameA,nameB,method,RMSD(OTMol),# atoms,time,assignment
Wat_13_cluster_86223_1st_lowest.xyz,Wat_13_cluster_86224_2nd_lowest.xyz,sOT,0.49315309239558436,39,0.5876858234405518,"[12 14 13 24 26 25 27 29 28 15 16 17 33 34 35  6  8  7 36 37 38 21 23 22
 18 19 20  0  2  1 30 31 32  3  5  4  9 11 10]"
Wat_14_cluster_144675_1st_lowest.xyz,Wat_14_cluster_144676_2nd_lowest.xyz,sOT,0.48188232382591895,42,0.809826135635376,"[30 31 32  6  8  7 24 26 25 18 19 20 12 13 14 21 22 23 33 35 34 36 37 38
  9 11 10 39 41 40  0  2  1 27 29 28 15 17 16  3  5  4]"
Wat_15_cluster_225208_1st_lowest.xyz,Wat_15_cluster_225209_2nd_lowest.xyz,sOT,0.517705825474348,45,0.9700567722320557,"[21 23 22 18 20 19 27 29 28 36 37 38 39 40 41 30 32 31  3  4  5 42 43 44
  9 11 10 24 25 26  0  1  2 33 34 35 15 16 17 12 13 14  6  8  7]"
Wat_16_cluster_321028_1st_lowest.xyz,Wat_16_cluster_321029_2nd_lowest.xyz,sOT,0.44334229129710917,48,0.8792729377746582,"[ 6  7  8 12 14 13 33 34 35  9 11 10  0  2  1 24 26 25  3  5  4 30 32 31
 21 22 23 27 28 29 39 40 41 36 38 37 15 16 17 45 46 47 42 43 44 18 19 20]"
Wat_17_cluster_417887_1st_lowest.xyz,Wat_17_cluster_417888_2nd_lowest.xyz,sOT,1.1982295105100484,51,1.1089060306549072,"[21 23 22 30 31 32 42 44 43 24 26 25  0  2  1  6  7  8 15 17 16  3  5  4
 27 29 28 12 14 13 33 35 34 39 40 41  9 11 10 45 47 46 36 38 37 18 20 19
 48 49 50]"
Wat_18_cluster_524874_1st_lowest.xyz,Wat_18_cluster_524875_2nd_lowest.xyz,sOT,1.4507581920394914,54,1.242638111114502,"[ 9 10 11 12 14 13 39 41 40 21 23 22 42 44 43 51 53 52 30 32 31  0  1  2
 15 17 16  3  5  4 18 19 20 48 49 50 45 46 47 33 35 34 24 26 25 36 38 37
  6  8  7 27 28 29]"
Wat_19_cluster_637553_1st_lowest.xyz,Wat_19_cluster_637554_2nd_lowest.xyz,sOT,0.595526236970421,57,1.186682939529419,"[ 9 10 11 15 16 17 21 23 22 42 44 43 27 29 28 54 56 55 30 31 32 36 38 37
 33 34 35  6  7  8 18 19 20 39 41 40  0  1  2  3  4  5 48 50 49 51 53 52
 45 47 46 24 25 26 12 14 13]"
Wat_20_cluster_744361_1st_lowest.xyz,Wat_20_cluster_744362_2nd_lowest.xyz,sOT,1.689873473908245,60,1.4095678329467773,"[12 14 13 27 28 29 15 16 17 54 56 55 39 40 41  6  7  8 18 19 20  9 10 11
 42 44 43  3  4  5 48 50 49 36 38 37 51 52 53  0  1  2 24 26 25 30 32 31
 57 58 59 33 35 34 21 22 23 45 46 47]"
Wat_21_cluster_865737_1st_lowest.xyz,Wat_21_cluster_865738_2nd_lowest.xyz,sOT,0.7151752252426725,63,1.274907112121582,"[36 37 38 27 28 29 45 46 47 39 41 40 12 13 14 57 58 59 33 34 35 15 17 16
 24 25 26 51 52 53 21 23 22 42 43 44 30 32 31  6  7  8 48 49 50  9 10 11
 18 20 19 60 62 61  3  4  5 54 56 55  0  2  1]"
Wat_22_cluster_1179799_1st_lowest.xyz,Wat_22_cluster_1179800_2nd_lowest.xyz,sOT,0.6282009962637052,66,1.1927680969238281,"[39 41 40 57 59 58 42 44 43 12 14 13 18 19 20 48 49 50 21 23 22 27 29 28
 54 55 56 30 32 31  9 10 11 60 61 62 45 47 46 33 34 35 63 65 64  3  4  5
 15 16 17 24 25 26 51 53 52  6  8  7 36 38 37  0  2  1]"
Wat_23_cluster_1574510_1st_lowest.xyz,Wat_23_cluster_1574511_2nd_lowest.xyz,sOT,0.4482686333516644,69,1.0424768924713135,"[ 0  1  2  3  5  4 51 52 53  6  7  8  9 10 11 12 13 14 15 16 17 18 20 19
 21 23 22 24 26 25 27 28 29 30 31 32 36 37 38 39 40 41 42 44 43 45 46 47
 48 50 49 33 35 34 54 56 55 57 58 59 60 61 62 63 65 64 66 68 67]"
Wat_24_cluster_1928474_1st_lowest.xyz,Wat_24_cluster_1928475_2nd_lowest.xyz,sOT,0.6748291824169848,72,1.4902489185333252,"[66 67 68 24 25 26 69 71 70 36 38 37 48 49 50  9 11 10 42 44 43 60 61 62
  3  4  5  0  1  2 39 41 40 15 17 16 63 65 64 51 53 52 45 46 47 21 22 23
 57 59 58 27 28 29 33 35 34 54 55 56 30 31 32 12 14 13  6  7  8 18 20 19]"
Wat_25_cluster_2243803_1st_lowest.xyz,Wat_25_cluster_2243804_2nd_lowest.xyz,sOT,0.5601601197110895,75,1.1320750713348389,"[24 26 25 54 56 55 66 67 68 27 28 29 63 65 64 39 41 40 15 16 17 36 38 37
 42 44 43  0  1  2 48 50 49  9 11 10 51 53 52 21 22 23 18 19 20  3  5  4
 57 59 58 69 70 71 12 13 14  6  8  7 45 46 47 30 32 31 60 61 62 72 73 74
 33 35 34]"
Wat_26_cluster_2726710_1st_lowest.xyz,Wat_26_cluster_2726711_2nd_lowest.xyz,sOT,1.4222806499043255,78,1.7277512550354004,"[27 29 28  0  2  1  6  7  8 54 55 56  3  5  4 36 37 38 15 17 16 21 22 23
 30 31 32 12 13 14 69 70 71 48 50 49 57 59 58 63 64 65 39 41 40 72 74 73
 66 68 67 42 44 43 33 35 34 75 76 77 18 20 19 51 53 52 24 26 25  9 11 10
 45 46 47 60 61 62]"
Wat_27_cluster_3257213_1st_lowest.xyz,Wat_27_cluster_3257214_2nd_lowest.xyz,sOT,1.4153959484999836,81,1.8662300109863281,"[51 53 52 54 56 55  3  5  4 69 70 71  9 11 10 27 28 29 39 41 40 42 43 44
 60 62 61  0  2  1 12 13 14 48 49 50 75 76 77  6  7  8 21 23 22 66 68 67
 57 59 58 33 34 35 72 73 74 63 65 64 24 26 25 30 32 31 36 37 38 45 46 47
 15 17 16 18 20 19 78 80 79]"
Wat_28_cluster_3649358_1st_lowest.xyz,Wat_28_cluster_3649359_2nd_lowest.xyz,sOT,1.5298978430935166,84,1.8902180194854736,"[63 65 64 24 25 26 57 58 59 69 70 71 18 19 20 75 76 77 72 73 74 78 79 80
  9 10 11  3  5  4 15 17 16 21 22 23 60 61 62 54 55 56 42 44 43  6  7  8
 51 52 53 66 68 67 81 83 82 36 37 38 48 50 49 45 47 46 27 29 28 33 35 34
 12 14 13 39 41 40 30 32 31  0  2  1]"
Wat_29_cluster_3925395_1st_lowest.xyz,Wat_29_cluster_3925396_2nd_lowest.xyz,sOT,1.6710752625329504,87,1.926476001739502,"[69 71 70 57 59 58  0  2  1 75 76 77 42 44 43 27 29 28 21 22 23 45 47 46
  3  5  4 36 37 38 84 86 85 30 31 32 48 49 50 15 16 17  6  7  8 51 53 52
 39 41 40 60 62 61 33 35 34 72 73 74 12 14 13  9 10 11 66 67 68 24 26 25
 78 79 80 81 83 82 63 64 65 18 19 20 54 56 55]"
Wat_30_cluster_4221226_1st_lowest.xyz,Wat_30_cluster_4221227_2nd_lowest.xyz,sOT,1.5144272796020883,90,2.0319302082061768,"[60 62 61 33 35 34 81 82 83  6  8  7 30 32 31 78 80 79 75 77 76 84 85 86
 63 64 65 36 38 37 18 20 19 87 89 88 66 67 68 45 46 47 57 58 59 15 17 16
 39 40 41  9 10 11 12 14 13 21 23 22 54 56 55 42 44 43 27 29 28 48 50 49
  3  4  5 51 53 52 69 70 71  0  2  1 24 25 26 72 74 73]"
